utctimestamp,severity
2022-06-16 12:37:10.950918+00:00,INFO
2022-06-16 12:37:25.962165+00:00,INFO
2022-06-16 12:37:40.955667+00:00,INFO
2022-06-16 12:37:55.975487+00:00,INFO
2022-06-16 12:38:10.967999+00:00,INFO
2022-06-16 12:38:25.955814+00:00,INFO
2022-06-16 12:38:40.961571+00:00,INFO
2022-06-16 12:38:55.958368+00:00,INFO
2022-06-16 12:39:10.952767+00:00,INFO
2022-06-16 12:39:25.960701+00:00,INFO
2022-06-16 12:39:40.940995+00:00,INFO
2022-06-16 12:39:55.953624+00:00,INFO
2022-06-16 12:40:10.942266+00:00,INFO
2022-06-16 12:40:25.952182+00:00,INFO
2022-06-16 12:40:40.955264+00:00,INFO
2022-06-16 12:40:55.960495+00:00,INFO
2022-06-16 12:41:10.948822+00:00,INFO
2022-06-16 12:41:25.964648+00:00,INFO
2022-06-16 12:41:40.964232+00:00,INFO
2022-06-16 12:41:55.967469+00:00,INFO
2022-06-16 12:42:10.977018+00:00,INFO
2022-06-16 12:42:25.949662+00:00,INFO
2022-06-16 12:42:40.947577+00:00,INFO
2022-06-16 12:42:55.946137+00:00,INFO
2022-06-16 12:43:10.943085+00:00,INFO
2022-06-16 12:43:25.962551+00:00,INFO
2022-06-16 12:43:40.945812+00:00,INFO
2022-06-16 12:43:55.942326+00:00,INFO
2022-06-16 12:44:10.931849+00:00,INFO
2022-06-16 12:44:25.942229+00:00,INFO
2022-06-16 12:44:40.928939+00:00,INFO
2022-06-16 12:44:55.960180+00:00,INFO
2022-06-16 12:45:10.939989+00:00,INFO
2022-06-16 12:45:25.939857+00:00,INFO
2022-06-16 12:45:40.942371+00:00,INFO
2022-06-16 12:45:55.953671+00:00,INFO
2022-06-16 12:46:10.950018+00:00,INFO
2022-06-16 12:46:25.967049+00:00,INFO
2022-06-16 12:46:40.935993+00:00,INFO
2022-06-16 12:46:55.930779+00:00,INFO
2022-06-16 12:47:10.938004+00:00,INFO
2022-06-16 12:47:25.941094+00:00,INFO
2022-06-16 12:47:40.938122+00:00,INFO
2022-06-16 12:47:55.933324+00:00,INFO
2022-06-16 12:48:10.937295+00:00,INFO
2022-06-16 12:48:25.937487+00:00,INFO
2022-06-16 12:48:40.933770+00:00,INFO
2022-06-16 12:48:55.949748+00:00,INFO
2022-06-16 12:49:10.957631+00:00,INFO
2022-06-16 12:49:25.934819+00:00,INFO
2022-06-16 12:49:40.932554+00:00,INFO
2022-06-16 12:49:55.929573+00:00,INFO
