utctimestamp,hugepages_used_pct,hugepages_used_bytes,hugepages_total,hugepages_swap_out_fallback,hugepages_swap_out_pages,hugepages_reserved,hugepages_free,hugepages_surplus,hugepages_default_size,used_pct,used_bytes,total,swap_used_pct,swap_used_bytes,swap_in_pages,swap_total,swap_readahead_cached,swap_readahead_pages,swap_free,swap_out_pages,page_stats_pgscan_direct_pages,page_stats_pgscan_kswapd_pages,page_stats_direct_efficiency_pct,page_stats_pgsteal_kswapd_pages,page_stats_pgfree_pages,page_stats_kswapd_efficiency_pct,page_stats_pgsteal_direct_pages,free,actual_free,actual_used_pct,actual_used_bytes,severity
2022-06-16 12:22:38.740478+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376152,0.9089,333858,68976640,349835264,0.5425,414760960,INFO
2022-06-16 12:22:53.731835+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376244,0.9089,333858,68976640,349835264,0.5425,414760960,INFO
2022-06-16 12:23:08.728252+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376322,0.9089,333858,68976640,349835264,0.5425,414760960,INFO
2022-06-16 12:23:23.726477+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376414,0.9089,333858,68976640,349839360,0.5425,414756864,INFO
2022-06-16 12:23:38.726574+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376497,0.9089,333858,68976640,349855744,0.5424,414740480,INFO
2022-06-16 12:23:53.722508+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376591,0.9089,333858,68976640,349855744,0.5424,414740480,INFO
2022-06-16 12:24:08.740690+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376670,0.9089,333858,68976640,349863936,0.5424,414732288,INFO
2022-06-16 12:24:23.726388+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695619584,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45376764,0.9089,333858,68976640,349868032,0.5424,414728192,INFO
2022-06-16 12:24:38.757404+00:00,0,0,0,0,0,0,0,0,2097152,0.9099,695705600,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45377917,0.9089,333858,68890624,347684864,0.5453,416911360,INFO
2022-06-16 12:24:53.732085+00:00,0,0,0,0,0,0,0,0,2097152,0.9099,695705600,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45378014,0.9089,333858,68890624,347693056,0.5453,416903168,INFO
2022-06-16 12:25:08.716715+00:00,0,0,0,0,0,0,0,0,2097152,0.9099,695705600,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45378096,0.9089,333858,68890624,349798400,0.5425,414797824,INFO
2022-06-16 12:25:23.743201+00:00,0,0,0,0,0,0,0,0,2097152,0.9099,695705600,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45378193,0.9089,333858,68890624,349802496,0.5425,414793728,INFO
2022-06-16 12:25:38.727827+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45379902,0.9089,333858,68964352,347787264,0.5451,416808960,INFO
2022-06-16 12:25:53.727282+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45379997,0.9089,333858,68964352,348073984,0.5448,416522240,INFO
2022-06-16 12:26:08.715443+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380070,0.9089,333858,68964352,348090368,0.5447,416505856,INFO
2022-06-16 12:26:23.725080+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380163,0.9089,333858,68964352,348094464,0.5447,416501760,INFO
2022-06-16 12:26:38.719784+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380241,0.9089,333858,68964352,348119040,0.5447,416477184,INFO
2022-06-16 12:26:53.728733+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695599104,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380333,0.9089,333858,68997120,349974528,0.5423,414621696,INFO
2022-06-16 12:27:08.712689+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380411,0.9089,333858,68964352,349941760,0.5423,414654464,INFO
2022-06-16 12:27:23.737347+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695599104,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380503,0.9089,333858,68997120,349978624,0.5423,414617600,INFO
2022-06-16 12:27:38.717656+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380582,0.9089,333858,68964352,349958144,0.5423,414638080,INFO
2022-06-16 12:27:53.715475+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695599104,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380674,0.9089,333858,68997120,349990912,0.5423,414605312,INFO
2022-06-16 12:28:08.718729+00:00,0,0,0,0,0,0,0,0,2097152,0.9098,695631872,764596224,0,0,0,0,0,0,0,0,346931,3036718,0.9623,2759979,45380752,0.9089,333858,68964352,349962240,0.5423,414633984,INFO
2022-06-16 12:28:23.732609+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694640640,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381029,0.9089,334023,69955584,350281728,0.5419,414314496,INFO
2022-06-16 12:28:38.713694+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694673408,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381107,0.9089,334023,69922816,350265344,0.5419,414330880,INFO
2022-06-16 12:28:53.725164+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694640640,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381201,0.9089,334023,69955584,350306304,0.5418,414289920,INFO
2022-06-16 12:29:08.715335+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694673408,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381279,0.9089,334023,69922816,350310400,0.5418,414285824,INFO
2022-06-16 12:29:23.714825+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694640640,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381374,0.9089,334023,69955584,350359552,0.5418,414236672,INFO
2022-06-16 12:29:38.715733+00:00,0,0,0,0,0,0,0,0,2097152,0.9085,694673408,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45381453,0.9089,334023,69922816,350343168,0.5418,414253056,INFO
2022-06-16 12:29:53.714082+00:00,0,0,0,0,0,0,0,0,2097152,0.909,695054336,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45382133,0.9089,334023,69541888,349966336,0.5423,414629888,INFO
2022-06-16 12:30:08.708615+00:00,0,0,0,0,0,0,0,0,2097152,0.9012,689070080,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45385275,0.9089,334023,75526144,355975168,0.5344,408621056,INFO
2022-06-16 12:30:23.711452+00:00,0,0,0,0,0,0,0,0,2097152,0.9012,689070080,764596224,0,0,0,0,0,0,0,0,347096,3036718,0.9623,2759979,45385362,0.9089,334023,75526144,355975168,0.5344,408621056,INFO
2022-06-16 12:30:38.713082+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688377856,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45385618,0.9089,334187,76218368,356007936,0.5344,408588288,INFO
2022-06-16 12:30:53.732539+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45385861,0.9089,334187,76193792,355983360,0.5344,408612864,INFO
2022-06-16 12:31:08.718155+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45385943,0.9089,334187,76226560,356040704,0.5343,408555520,INFO
2022-06-16 12:31:23.709788+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386027,0.9089,334187,76193792,356016128,0.5344,408580096,INFO
2022-06-16 12:31:38.706007+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386114,0.9089,334187,76193792,356028416,0.5344,408567808,INFO
2022-06-16 12:31:53.711613+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386198,0.9089,334187,76193792,356028416,0.5344,408567808,INFO
2022-06-16 12:32:08.706511+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386284,0.9089,334187,76226560,356065280,0.5343,408530944,INFO
2022-06-16 12:32:23.740538+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386368,0.9089,334187,76193792,356036608,0.5343,408559616,INFO
2022-06-16 12:32:38.738009+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386455,0.9089,334187,76226560,356077568,0.5343,408518656,INFO
2022-06-16 12:32:53.712257+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386539,0.9089,334187,76193792,356044800,0.5343,408551424,INFO
2022-06-16 12:33:08.705842+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386624,0.9089,334187,76226560,356085760,0.5343,408510464,INFO
2022-06-16 12:33:23.704434+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386709,0.9089,334187,76193792,356057088,0.5343,408539136,INFO
2022-06-16 12:33:38.704542+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386795,0.9089,334187,76226560,356089856,0.5343,408506368,INFO
2022-06-16 12:33:53.742054+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386880,0.9089,334187,76193792,356089856,0.5343,408506368,INFO
2022-06-16 12:34:08.707546+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688369664,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45386965,0.9089,334187,76226560,356134912,0.5342,408461312,INFO
2022-06-16 12:34:23.700648+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45387052,0.9089,334187,76193792,356106240,0.5343,408489984,INFO
2022-06-16 12:34:38.709647+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45387131,0.9089,334187,76193792,356114432,0.5342,408481792,INFO
2022-06-16 12:34:53.708200+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45387225,0.9089,334187,76193792,356118528,0.5342,408477696,INFO
2022-06-16 12:35:08.734808+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45387304,0.9089,334187,76193792,356118528,0.5342,408477696,INFO
2022-06-16 12:35:23.721401+00:00,0,0,0,0,0,0,0,0,2097152,0.9003,688402432,764596224,0,0,0,0,0,0,0,0,347260,3036718,0.9624,2759979,45387398,0.9089,334187,76193792,356118528,0.5342,408477696,INFO
2022-06-16 12:35:38.698857+00:00,0,0,0,0,0,0,0,0,2097152,0.8991,687456256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45387657,0.9089,334351,77139968,356401152,0.5339,408195072,INFO
2022-06-16 12:35:53.723637+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389343,0.9089,334351,71122944,350384128,0.5417,414212096,INFO
2022-06-16 12:36:08.700844+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389425,0.9089,334351,71122944,350408704,0.5417,414187520,INFO
2022-06-16 12:36:23.707140+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389509,0.9089,334351,71122944,350416896,0.5417,414179328,INFO
2022-06-16 12:36:38.711635+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389596,0.9089,334351,71122944,350429184,0.5417,414167040,INFO
2022-06-16 12:36:53.699092+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389684,0.9089,334351,71122944,350437376,0.5417,414158848,INFO
2022-06-16 12:37:08.700329+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389769,0.9089,334351,71122944,350449664,0.5417,414146560,INFO
2022-06-16 12:37:23.701183+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389854,0.9089,334351,71122944,350457856,0.5416,414138368,INFO
2022-06-16 12:37:38.692397+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45389956,0.9089,334351,71122944,350470144,0.5416,414126080,INFO
2022-06-16 12:37:53.697809+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390041,0.9089,334351,71122944,350474240,0.5416,414121984,INFO
2022-06-16 12:38:08.693891+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390126,0.9089,334351,71122944,350474240,0.5416,414121984,INFO
2022-06-16 12:38:23.705953+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390211,0.9089,334351,71122944,350474240,0.5416,414121984,INFO
2022-06-16 12:38:38.714962+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390297,0.9089,334351,71122944,350478336,0.5416,414117888,INFO
2022-06-16 12:38:53.704738+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390382,0.9089,334351,71122944,350482432,0.5416,414113792,INFO
2022-06-16 12:39:08.718422+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390467,0.9089,334351,71122944,350486528,0.5416,414109696,INFO
2022-06-16 12:39:23.707487+00:00,0,0,0,0,0,0,0,0,2097152,0.907,693473280,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390570,0.9089,334351,71122944,350486528,0.5416,414109696,INFO
2022-06-16 12:39:38.686754+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390658,0.9089,334351,70995968,350371840,0.5418,414224384,INFO
2022-06-16 12:39:53.716703+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390744,0.9089,334351,70995968,350371840,0.5418,414224384,INFO
2022-06-16 12:40:08.696662+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390831,0.9089,334351,70995968,350380032,0.5417,414216192,INFO
2022-06-16 12:40:23.692000+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45390917,0.9089,334351,70995968,350380032,0.5417,414216192,INFO
2022-06-16 12:40:38.691291+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391005,0.9089,334351,71028736,350420992,0.5417,414175232,INFO
2022-06-16 12:40:53.702102+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391109,0.9089,334351,70995968,350388224,0.5417,414208000,INFO
2022-06-16 12:41:08.690745+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391190,0.9089,334351,71028736,350437376,0.5417,414158848,INFO
2022-06-16 12:41:23.690650+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391275,0.9089,334351,70995968,350404608,0.5417,414191616,INFO
2022-06-16 12:41:38.689796+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391361,0.9089,334351,71028736,350445568,0.5417,414150656,INFO
2022-06-16 12:41:53.693041+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391446,0.9089,334351,70995968,350416896,0.5417,414179328,INFO
2022-06-16 12:42:08.703548+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391531,0.9089,334351,71028736,350457856,0.5416,414138368,INFO
2022-06-16 12:42:23.690053+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391616,0.9089,334351,70995968,350425088,0.5417,414171136,INFO
2022-06-16 12:42:38.698256+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391702,0.9089,334351,71028736,350466048,0.5416,414130176,INFO
2022-06-16 12:42:53.691728+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391787,0.9089,334351,70995968,350441472,0.5417,414154752,INFO
2022-06-16 12:43:08.687124+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391904,0.9089,334351,71028736,350486528,0.5416,414109696,INFO
2022-06-16 12:43:23.686542+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45391988,0.9089,334351,70995968,350453760,0.5416,414142464,INFO
2022-06-16 12:43:38.705352+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392075,0.9089,334351,71028736,350494720,0.5416,414101504,INFO
2022-06-16 12:43:53.686980+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392159,0.9089,334351,70995968,350466048,0.5416,414130176,INFO
2022-06-16 12:44:08.687315+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392245,0.9089,334351,70995968,350474240,0.5416,414121984,INFO
2022-06-16 12:44:23.696290+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392331,0.9089,334351,70995968,350474240,0.5416,414121984,INFO
2022-06-16 12:44:38.676436+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392419,0.9089,334351,70995968,350498816,0.5416,414097408,INFO
2022-06-16 12:44:53.685049+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693600256,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392505,0.9089,334351,70995968,350502912,0.5416,414093312,INFO
2022-06-16 12:45:08.682967+00:00,0,0,0,0,0,0,0,0,2097152,0.9071,693567488,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45392592,0.9089,334351,71028736,350535680,0.5415,414060544,INFO
2022-06-16 12:45:23.693975+00:00,0,0,0,0,0,0,0,0,2097152,0.9,688123904,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45395549,0.9089,334351,76472320,355995648,0.5344,408600576,INFO
2022-06-16 12:45:38.678213+00:00,0,0,0,0,0,0,0,0,2097152,0.8999,688091136,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45395958,0.9089,334351,76505088,356048896,0.5343,408547328,INFO
2022-06-16 12:45:53.684785+00:00,0,0,0,0,0,0,0,0,2097152,0.8999,688091136,764596224,0,0,0,0,0,0,0,0,347424,3036718,0.9624,2759979,45396053,0.9089,334351,76505088,356048896,0.5343,408547328,INFO
2022-06-16 12:46:08.678127+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687063040,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396294,0.9089,334510,77533184,356454400,0.5338,408141824,INFO
2022-06-16 12:46:23.689543+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687063040,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396473,0.9089,334510,77533184,356454400,0.5338,408141824,INFO
2022-06-16 12:46:38.682424+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687063040,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396551,0.9089,334510,77533184,356466688,0.5338,408129536,INFO
2022-06-16 12:46:53.679671+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396636,0.9089,334510,77500416,356446208,0.5338,408150016,INFO
2022-06-16 12:47:08.676530+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396713,0.9089,334510,77500416,356450304,0.5338,408145920,INFO
2022-06-16 12:47:23.681177+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396806,0.9089,334510,77500416,356470784,0.5338,408125440,INFO
2022-06-16 12:47:38.686814+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396884,0.9089,334510,77500416,356491264,0.5338,408104960,INFO
2022-06-16 12:47:53.675696+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45396976,0.9089,334510,77500416,356491264,0.5338,408104960,INFO
2022-06-16 12:48:08.674272+00:00,0,0,0,0,0,0,0,0,2097152,0.8986,687095808,764596224,0,0,0,0,0,0,0,0,347583,3036718,0.9624,2759979,45397054,0.9089,334510,77500416,356491264,0.5338,408104960,INFO
